name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway
South 2nd Street,10,5587569,917,952,1,156.9428336,1,29,,residential,6,"LINESTRING (-112.0712581 33.4482408, -112.0712564 33.4481363, -112.0712542 33.4475369, -112.0712577 33.4469894, -112.0712811 33.4469163, -112.0713071 33.4468348)",1
South 25th Avenue,11,5587859,12,1122,1,21.15123065,1,29,,residential,6,"LINESTRING (-112.1131737 33.4482098, -112.1131706 33.4480196)",1
South 25th Avenue,12,5587859,1122,12,1,21.15123065,1,29,,residential,6,"LINESTRING (-112.1131706 33.4480196, -112.1131737 33.4482098)",1
South 25th Avenue,13,5587859,1122,13,1,76.34214108,1,29,,residential,6,"LINESTRING (-112.1131706 33.4480196, -112.1131671 33.447799, -112.1131617 33.4474598, -112.1131596 33.4473331)",1
South 25th Avenue,14,5587859,13,1122,1,76.34214108,1,29,,residential,6,"LINESTRING (-112.1131596 33.4473331, -112.1131617 33.4474598, -112.1131671 33.447799, -112.1131706 33.4480196)",1
South 25th Avenue,15,5587859,13,14,1,43.8193104,1,29,,residential,6,"LINESTRING (-112.1131596 33.4473331, -112.1131563 33.4471268, -112.1131507 33.4469391)",1
South 25th Avenue,16,5587859,14,13,1,43.8193104,1,29,,residential,6,"LINESTRING (-112.1131507 33.4469391, -112.1131563 33.4471268, -112.1131596 33.4473331)",1
South 25th Avenue,17,5587859,14,15,1,119.1088735,1,29,,residential,6,"LINESTRING (-112.1131507 33.4469391, -112.1131481 33.4467452, -112.1131443 33.4463764, -112.1131434 33.4463208, -112.1131367 33.4459087, -112.1131361 33.445868)",1
South 25th Avenue,18,5587859,15,14,1,119.1088735,1,29,,residential,6,"LINESTRING (-112.1131361 33.445868, -112.1131367 33.4459087, -112.1131434 33.4463208, -112.1131443 33.4463764, -112.1131481 33.4467452, -112.1131507 33.4469391)",1
South 25th Avenue,19,5587859,15,16,1,47.15087061,1,29,,residential,6,"LINESTRING (-112.1131361 33.445868, -112.1131302 33.4454987, -112.1131293 33.445444)",1
South 25th Avenue,20,5587859,16,15,1,47.15087061,1,29,,residential,6,"LINESTRING (-112.1131293 33.445444, -112.1131302 33.4454987, -112.1131361 33.445868)",1
South 10th Street,21,5587901,17,1133,1,162.7811694,1,25,,residential,6,"LINESTRING (-112.0608322 33.4456176, -112.0608335 33.4458045, -112.0608369 33.4462766, -112.060838 33.4464353, -112.0608417 33.4469459, -112.0608427 33.4470815)",1
South 10th Street,22,5587901,1133,17,1,162.7811694,1,25,,residential,6,"LINESTRING (-112.0608427 33.4470815, -112.0608417 33.4469459, -112.060838 33.4464353, -112.0608369 33.4462766, -112.0608335 33.4458045, -112.0608322 33.4456176)",1
South 10th Street,23,5587901,1133,933,1,5.80604337,1,25,,residential,6,"LINESTRING (-112.0608427 33.4470815, -112.0608412 33.4471337)",1
South 10th Street,24,5587901,933,1133,1,5.80604337,1,25,,residential,6,"LINESTRING (-112.0608412 33.4471337, -112.0608427 33.4470815)",1
West Polk Street,25,5587997,18,978,1,18.33387206,1,25,,residential,6,"LINESTRING (-112.1132437 33.4528669, -112.1134068 33.45296)",1
West Polk Street,26,5587997,978,18,1,18.33387206,1,25,,residential,6,"LINESTRING (-112.1134068 33.45296, -112.1132437 33.4528669)",1
West Polk Street,27,5588003,19,20,1,77.90585607,1,29,,residential,6,"LINESTRING (-112.1131261 33.4526387, -112.1122864 33.4526449)",1
West Polk Street,28,5588003,20,19,1,77.90585607,1,29,,residential,6,"LINESTRING (-112.1122864 33.4526449, -112.1131261 33.4526387)",1
West Polk Street,29,5588004,21,22,1,44.56017662,1,29,,residential,6,"LINESTRING (-112.1028505 33.4531233, -112.1023702 33.4531257)",1
West Polk Street,30,5588004,22,21,1,44.56017662,1,29,,residential,6,"LINESTRING (-112.1023702 33.4531257, -112.1028505 33.4531233)",1
West Polk Street,31,5588004,22,23,1,51.22947717,1,29,,residential,6,"LINESTRING (-112.1023702 33.4531257, -112.1018181 33.4531343)",1
West Polk Street,32,5588004,23,22,1,51.22947717,1,29,,residential,6,"LINESTRING (-112.1018181 33.4531343, -112.1023702 33.4531257)",1
West Polk Street,33,5588011,24,25,1,206.4413092,1,25,,residential,6,"LINESTRING (-112.0825929 33.453334, -112.0827409 33.4533335, -112.0830825 33.4533323, -112.0832378 33.453332, -112.083816 33.4533307, -112.0845996 33.4533289, -112.0847355 33.4533286, -112.0848181 33.4533284)",1
West Polk Street,34,5588011,25,24,1,206.4413092,1,25,,residential,6,"LINESTRING (-112.0848181 33.4533284, -112.0847355 33.4533286, -112.0845996 33.4533289, -112.083816 33.4533307, -112.0832378 33.453332, -112.0830825 33.4533323, -112.0827409 33.4533335, -112.0825929 33.453334)",1
West Polk Street,35,5588011,25,26,1,41.98358255,1,25,,residential,6,"LINESTRING (-112.0848181 33.4533284, -112.0848997 33.4533278, -112.0849832 33.4533272, -112.0852706 33.4533237)",1
West Polk Street,36,5588011,26,25,1,41.98358255,1,25,,residential,6,"LINESTRING (-112.0852706 33.4533237, -112.0849832 33.4533272, -112.0848997 33.4533278, -112.0848181 33.4533284)",1
West Polk Street,37,5588011,26,27,1,100.2148343,1,25,,residential,6,"LINESTRING (-112.0852706 33.4533237, -112.0857242 33.453322, -112.0863508 33.453321)",1
West Polk Street,38,5588011,27,26,1,100.2148343,1,25,,residential,6,"LINESTRING (-112.0863508 33.453321, -112.0857242 33.453322, -112.0852706 33.4533237)",1
West Polk Street,39,5588011,27,28,1,194.3200398,1,25,,residential,6,"LINESTRING (-112.0863508 33.453321, -112.0884453 33.4533082)",1
West Polk Street,40,5588011,28,27,1,194.3200398,1,25,,residential,6,"LINESTRING (-112.0884453 33.4533082, -112.0863508 33.453321)",1
West Polk Street,41,5588011,28,29,1,62.06577378,1,25,,residential,6,"LINESTRING (-112.0884453 33.4533082, -112.0891143 33.4533074)",1
West Polk Street,42,5588011,29,28,1,62.06577378,1,25,,residential,6,"LINESTRING (-112.0891143 33.4533074, -112.0884453 33.4533082)",1
West Polk Street,43,5588011,29,30,1,107.0545009,1,25,,residential,6,"LINESTRING (-112.0891143 33.4533074, -112.0895293 33.4533005, -112.090268 33.4532882)",1
West Polk Street,44,5588011,30,29,1,107.0545009,1,25,,residential,6,"LINESTRING (-112.090268 33.4532882, -112.0895293 33.4533005, -112.0891143 33.4533074)",1
West Polk Street,45,5588011,30,31,1,91.70784978,1,25,,residential,6,"LINESTRING (-112.090268 33.4532882, -112.0911153 33.4532913, -112.0912565 33.4532918)",1
West Polk Street,46,5588011,31,30,1,91.70784978,1,25,,residential,6,"LINESTRING (-112.0912565 33.4532918, -112.0911153 33.4532913, -112.090268 33.4532882)",1
South 22nd Street,47,5588173,897,1179,1,16.79216859,1,29,,residential,6,"LINESTRING (-112.0346079 33.4483459, -112.0346096 33.4482448, -112.0346105 33.4481949)",1
South 22nd Street,48,5588173,1179,897,1,16.79216859,1,29,,residential,6,"LINESTRING (-112.0346105 33.4481949, -112.0346096 33.4482448, -112.0346079 33.4483459)",1
North 8th Avenue,49,5591464,41,42,1,194.8469879,1,25,,residential,6,"LINESTRING (-112.0837054 33.4569299, -112.0837036 33.4580621, -112.0837038 33.4585909, -112.0837037 33.4586822)",1
North 8th Avenue,50,5591464,42,41,1,194.8469879,1,25,,residential,6,"LINESTRING (-112.0837037 33.4586822, -112.0837038 33.4585909, -112.0837036 33.4580621, -112.0837054 33.4569299)",1
North 8th Avenue,51,5591495,1287,1126,1,119.4527746,1,29,,residential,6,"LINESTRING (-112.0836843 33.4482019, -112.0836909 33.4483093, -112.0836918 33.4483241, -112.0836934 33.4487536, -112.0836939 33.4488942, -112.0836953 33.449276)",1
North 8th Avenue,52,5591495,1126,1287,1,119.4527746,1,29,,residential,6,"LINESTRING (-112.0836953 33.449276, -112.0836939 33.4488942, -112.0836934 33.4487536, -112.0836918 33.4483241, -112.0836909 33.4483093, -112.0836843 33.4482019)",1
North 10th Avenue,53,5592905,1564,27,1,216.7152265,1,25,,residential,6,"LINESTRING (-112.0863511 33.4513721, -112.0863486 33.4514858, -112.0863447 33.4523172, -112.0863469 33.4531867, -112.0863484 33.4532391, -112.0863508 33.453321)",1
North 10th Avenue,54,5592905,27,1564,1,216.7152265,1,25,,residential,6,"LINESTRING (-112.0863508 33.453321, -112.0863484 33.4532391, -112.0863469 33.4531867, -112.0863447 33.4523172, -112.0863486 33.4514858, -112.0863511 33.4513721)",1
North 10th Avenue,55,5592913,1288,1258,1,118.0257657,1,25,,residential,6,"LINESTRING (-112.0859048 33.4481996, -112.0859059 33.4483111, -112.085906 33.4483387, -112.0859064 33.4484906, -112.0859102 33.4491595, -112.0859043 33.4492609)",1
North 10th Avenue,56,5592913,1258,1288,1,118.0257657,1,25,,residential,6,"LINESTRING (-112.0859043 33.4492609, -112.0859102 33.4491595, -112.0859064 33.4484906, -112.085906 33.4483387, -112.0859059 33.4483111, -112.0859048 33.4481996)",1
North 10th Avenue,57,5592913,1258,1563,1,203.7594113,1,25,,residential,6,"LINESTRING (-112.0859043 33.4492609, -112.085909 33.4497978, -112.0859101 33.4499058, -112.0859209 33.4510933)",1
North 10th Avenue,58,5592913,1563,1258,1,203.7594113,1,25,,residential,6,"LINESTRING (-112.0859209 33.4510933, -112.0859101 33.4499058, -112.085909 33.4497978, -112.0859043 33.4492609)",1
North 10th Avenue,59,5592913,1563,1396,1,31.22455645,1,25,,residential,6,"LINESTRING (-112.0859209 33.4510933, -112.0859218 33.451271, -112.0859233 33.4513741)",1
North 10th Avenue,60,5592913,1396,1563,1,31.22455645,1,25,,residential,6,"LINESTRING (-112.0859233 33.4513741, -112.0859218 33.451271, -112.0859209 33.4510933)",1
North 19th Place,61,5593631,46,47,1,377.988644,1,29,,residential,6,"LINESTRING (-112.0401056 33.4529451, -112.0401237 33.4563444)",1
North 19th Place,62,5593631,47,46,1,377.988644,1,29,,residential,6,"LINESTRING (-112.0401237 33.4563444, -112.0401056 33.4529451)",1
North 19th Place,63,5593635,48,49,1,99.47435915,1,25,,residential,6,"LINESTRING (-112.0401026 33.4666871, -112.040095 33.4667594, -112.040091 33.4671245, -112.0400895 33.4675814)",1
North 19th Place,64,5593635,49,48,1,99.47435915,1,25,,residential,6,"LINESTRING (-112.0400895 33.4675814, -112.040091 33.4671245, -112.040095 33.4667594, -112.0401026 33.4666871)",1
South Central Avenue,65,5594605,829,2003,1,52.67491948,3,39,,secondary,4,"LINESTRING (-112.0738138 33.4450516, -112.0738186 33.4455253)",0
South 12th Avenue,66,5596450,55,54,1,119.6185139,1,25,,residential,6,"LINESTRING (-112.0881025 33.4460039, -112.0881136 33.446521, -112.0881171 33.4467063, -112.0881227 33.4469299, -112.0881231 33.4470795)",1
South 12th Avenue,67,5596450,54,55,1,119.6185139,1,25,,residential,6,"LINESTRING (-112.0881231 33.4470795, -112.0881227 33.4469299, -112.0881171 33.4467063, -112.0881136 33.446521, -112.0881025 33.4460039)",1
South 12th Avenue,68,5596450,54,1284,1,123.1215461,1,25,,residential,6,"LINESTRING (-112.0881231 33.4470795, -112.0881213 33.4472208, -112.0881319 33.4480387, -112.0881318 33.44805, -112.0881316 33.4480808, -112.0881308 33.4481867)",1
South 12th Avenue,69,5596450,1284,54,1,123.1215461,1,25,,residential,6,"LINESTRING (-112.0881308 33.4481867, -112.0881316 33.4480808, -112.0881318 33.44805, -112.0881319 33.4480387, -112.0881213 33.4472208, -112.0881231 33.4470795)",1
East Almeria Road,70,5597138,56,57,1,100.0887076,1,25,,residential,6,"LINESTRING (-112.0422575 33.4666664, -112.0411785 33.4666707)",1
East Almeria Road,71,5597138,57,56,1,100.0887076,1,25,,residential,6,"LINESTRING (-112.0411785 33.4666707, -112.0422575 33.4666664)",1
East Almeria Road,72,5597138,57,48,1,99.84619147,1,25,,residential,6,"LINESTRING (-112.0411785 33.4666707, -112.0406721 33.4666757, -112.040213 33.4666788, -112.0401026 33.4666871)",1
East Almeria Road,73,5597138,48,57,1,99.84619147,1,25,,residential,6,"LINESTRING (-112.0401026 33.4666871, -112.040213 33.4666788, -112.0406721 33.4666757, -112.0411785 33.4666707)",1
East Almeria Road,74,5597141,1425,1426,1,203.7651438,1,25,,residential,6,"LINESTRING (-112.0585641 33.4666985, -112.0564934 33.4667014, -112.0563674 33.4667016)",1
East Almeria Road,75,5597141,1426,1425,1,203.7651438,1,25,,residential,6,"LINESTRING (-112.0563674 33.4667016, -112.0564934 33.4667014, -112.0585641 33.4666985)",1
East Almeria Road,76,5597141,1426,58,1,195.3980183,1,25,,residential,6,"LINESTRING (-112.0563674 33.4667016, -112.0562419 33.4667017, -112.0542609 33.4667032)",1
East Almeria Road,77,5597141,58,1426,1,195.3980183,1,25,,residential,6,"LINESTRING (-112.0542609 33.4667032, -112.0562419 33.4667017, -112.0563674 33.4667016)",1
East Almeria Road,78,5597141,58,59,1,205.3026255,1,25,,residential,6,"LINESTRING (-112.0542609 33.4667032, -112.0540614 33.4666903, -112.0520483 33.4666754)",1
East Almeria Road,79,5597141,59,58,1,205.3026255,1,25,,residential,6,"LINESTRING (-112.0520483 33.4666754, -112.0540614 33.4666903, -112.0542609 33.4667032)",1
East Almeria Road,80,5597141,59,60,1,205.5813509,1,25,,residential,6,"LINESTRING (-112.0520483 33.4666754, -112.0512315 33.4666813, -112.0498322 33.4666985)",1
East Almeria Road,81,5597141,60,59,1,205.5813509,1,25,,residential,6,"LINESTRING (-112.0498322 33.4666985, -112.0512315 33.4666813, -112.0520483 33.4666754)",1
East Almeria Road,82,5597141,60,61,1,198.382823,1,25,,residential,6,"LINESTRING (-112.0498322 33.4666985, -112.0482225 33.466693, -112.0478815 33.4666961, -112.0476938 33.4666881)",1
East Almeria Road,83,5597141,61,60,1,198.382823,1,25,,residential,6,"LINESTRING (-112.0476938 33.4666881, -112.0478815 33.4666961, -112.0482225 33.466693, -112.0498322 33.4666985)",1
East Almeria Road,84,5597141,61,62,1,40.25419098,1,25,,residential,6,"LINESTRING (-112.0476938 33.4666881, -112.0475127 33.4666804, -112.0472602 33.4666737)",1
East Almeria Road,85,5597141,62,61,1,40.25419098,1,25,,residential,6,"LINESTRING (-112.0472602 33.4666737, -112.0475127 33.4666804, -112.0476938 33.4666881)",1
East Almeria Road,86,5597141,62,1253,1,47.59497473,1,25,,residential,6,"LINESTRING (-112.0472602 33.4666737, -112.0468116 33.4666739, -112.0467471 33.4666741)",1
East Almeria Road,87,5597141,1253,62,1,47.59497473,1,25,,residential,6,"LINESTRING (-112.0467471 33.4666741, -112.0468116 33.4666739, -112.0472602 33.4666737)",1
East Almeria Road,88,5597141,1253,63,1,114.15022,1,25,,residential,6,"LINESTRING (-112.0467471 33.4666741, -112.0461341 33.4666758, -112.0455165 33.4666758)",1
East Almeria Road,89,5597141,63,1253,1,114.15022,1,25,,residential,6,"LINESTRING (-112.0455165 33.4666758, -112.0461341 33.4666758, -112.0467471 33.4666741)",1
East Almeria Road,90,5597141,63,64,1,201.1491604,1,25,,residential,6,"LINESTRING (-112.0455165 33.4666758, -112.043348 33.4666743)",1
East Almeria Road,91,5597141,64,63,1,201.1491604,1,25,,residential,6,"LINESTRING (-112.043348 33.4666743, -112.0455165 33.4666758)",1
East Almeria Road,92,5597144,65,66,1,108.610626,1,29,,residential,6,"LINESTRING (-112.0302435 33.4670203, -112.0313316 33.4670228, -112.0314094 33.4669992)",1
East Almeria Road,93,5597144,66,65,1,108.610626,1,29,,residential,6,"LINESTRING (-112.0314094 33.4669992, -112.0313316 33.4670228, -112.0302435 33.4670203)",1
North 12th Street,94,5597917,90,89,1,32.28482196,1,25,,residential,6,"LINESTRING (-112.0564402 33.4612687, -112.0564216 33.4611709, -112.056425 33.4609796)",1
North 12th Street,95,5597917,89,90,1,32.28482196,1,25,,residential,6,"LINESTRING (-112.056425 33.4609796, -112.0564216 33.4611709, -112.0564402 33.4612687)",1
North 12th Street,96,5597917,89,772,1,103.3483444,1,25,,residential,6,"LINESTRING (-112.056425 33.4609796, -112.0564345 33.4604931, -112.0564439 33.4600503)",1
North 12th Street,97,5597917,772,89,1,103.3483444,1,25,,residential,6,"LINESTRING (-112.0564439 33.4600503, -112.0564345 33.4604931, -112.056425 33.4609796)",1
North 12th Street,98,5597917,772,88,1,13.68812376,1,25,,residential,6,"LINESTRING (-112.0564439 33.4600503, -112.0564442 33.4599272)",1
North 12th Street,99,5597917,88,772,1,13.68812376,1,25,,residential,6,"LINESTRING (-112.0564442 33.4599272, -112.0564439 33.4600503)",1
North 12th Street,100,5597917,88,87,1,41.22029759,1,25,,residential,6,"LINESTRING (-112.0564442 33.4599272, -112.056444 33.4597551, -112.0564453 33.4595565)",1
North 12th Street,101,5597917,87,88,1,41.22029759,1,25,,residential,6,"LINESTRING (-112.0564453 33.4595565, -112.056444 33.4597551, -112.0564442 33.4599272)",1
North 12th Street,102,5597917,87,86,1,31.93529207,1,25,,residential,6,"LINESTRING (-112.0564453 33.4595565, -112.0564462 33.4592693)",1
North 12th Street,103,5597917,86,87,1,31.93529207,1,25,,residential,6,"LINESTRING (-112.0564462 33.4592693, -112.0564453 33.4595565)",1
North 12th Street,104,5597917,86,85,1,65.727638,1,25,,residential,6,"LINESTRING (-112.0564462 33.4592693, -112.0564467 33.459135, -112.0564484 33.4586782)",1
North 12th Street,105,5597917,85,86,1,65.727638,1,25,,residential,6,"LINESTRING (-112.0564484 33.4586782, -112.0564467 33.459135, -112.0564462 33.4592693)",1
North 12th Street,106,5597917,85,84,1,105.3462925,1,25,,residential,6,"LINESTRING (-112.0564484 33.4586782, -112.0564492 33.4582964, -112.0564494 33.458215, -112.0564507 33.4577308)",1
North 12th Street,107,5597917,84,85,1,105.3462925,1,25,,residential,6,"LINESTRING (-112.0564507 33.4577308, -112.0564494 33.458215, -112.0564492 33.4582964, -112.0564484 33.4586782)",1
North 12th Street,108,5597917,84,83,1,106.9587621,1,25,,residential,6,"LINESTRING (-112.0564507 33.4577308, -112.0564522 33.4572557, -112.0564537 33.4567689)",1
North 12th Street,109,5597917,83,84,1,106.9587621,1,25,,residential,6,"LINESTRING (-112.0564537 33.4567689, -112.0564522 33.4572557, -112.0564507 33.4577308)",1
North 12th Street,110,5597917,83,82,1,106.6251553,1,25,,residential,6,"LINESTRING (-112.0564537 33.4567689, -112.0564552 33.4562946, -112.0564566 33.45581)",1
North 12th Street,111,5597917,82,83,1,106.6251553,1,25,,residential,6,"LINESTRING (-112.0564566 33.45581, -112.0564552 33.4562946, -112.0564537 33.4567689)",1
North 12th Street,112,5597917,82,81,1,107.7115761,1,25,,residential,6,"LINESTRING (-112.0564566 33.45581, -112.0564638 33.4553212, -112.0564709 33.4548414)",1
North 12th Street,113,5597917,81,82,1,107.7115761,1,25,,residential,6,"LINESTRING (-112.0564709 33.4548414, -112.0564638 33.4553212, -112.0564566 33.45581)",1
North 12th Street,114,5597917,81,80,1,108.7899279,1,25,,residential,6,"LINESTRING (-112.0564709 33.4548414, -112.056461 33.4543522, -112.0564625 33.4538631)",1
North 12th Street,115,5597917,80,81,1,108.7899279,1,25,,residential,6,"LINESTRING (-112.0564625 33.4538631, -112.056461 33.4543522, -112.0564709 33.4548414)",1
North 12th Street,116,5597918,93,94,1,172.1393737,1,25,,residential,6,"LINESTRING (-112.055937 33.4513586, -112.0559399 33.4514987, -112.0559439 33.4518452, -112.0559458 33.4520069, -112.0559473 33.452139, -112.0559562 33.4529066)",1
North 12th Street,117,5597918,94,93,1,172.1393737,1,25,,residential,6,"LINESTRING (-112.0559562 33.4529066, -112.0559473 33.452139, -112.0559458 33.4520069, -112.0559439 33.4518452, -112.0559399 33.4514987, -112.055937 33.4513586)",1
North 12th Street,118,5597918,94,95,1,106.4469825,1,25,,residential,6,"LINESTRING (-112.0559562 33.4529066, -112.0559576 33.4538639)",1
North 12th Street,119,5597918,95,94,1,106.4469825,1,25,,residential,6,"LINESTRING (-112.0559576 33.4538639, -112.0559562 33.4529066)",1
North 12th Street,120,5597920,1225,96,1,59.67935902,1,29,,residential,6,"LINESTRING (-112.0564351 33.4488776, -112.0564336 33.4490913, -112.056433 33.4491718, -112.0564313 33.4494143)",1
North 12th Street,121,5597920,96,1225,1,59.67935902,1,29,,residential,6,"LINESTRING (-112.0564313 33.4494143, -112.056433 33.4491718, -112.0564336 33.4490913, -112.0564351 33.4488776)",1
North 12th Street,122,5597920,96,97,1,46.22537343,1,29,,residential,6,"LINESTRING (-112.0564313 33.4494143, -112.0564355 33.44983)",1
North 12th Street,123,5597920,97,96,1,46.22537343,1,29,,residential,6,"LINESTRING (-112.0564355 33.44983, -112.0564313 33.4494143)",1
North 12th Street,124,5597920,97,98,1,64.25955133,1,29,,residential,6,"LINESTRING (-112.0564355 33.44983, -112.0564355 33.4499274, -112.0564357 33.4504079)",1
North 12th Street,125,5597920,98,97,1,64.25955133,1,29,,residential,6,"LINESTRING (-112.0564357 33.4504079, -112.0564355 33.4499274, -112.0564355 33.44983)",1
North 12th Street,126,5597920,98,99,1,105.0349961,1,29,,residential,6,"LINESTRING (-112.0564357 33.4504079, -112.0564357 33.4504646, -112.056435 33.4505913, -112.0564359 33.4508664, -112.056436 33.4509882, -112.0564361 33.4512385, -112.0564361 33.4513525)",1
North 12th Street,127,5597920,99,98,1,105.0349961,1,29,,residential,6,"LINESTRING (-112.0564361 33.4513525, -112.0564361 33.4512385, -112.056436 33.4509882, -112.0564359 33.4508664, -112.056435 33.4505913, -112.0564357 33.4504646, -112.0564357 33.4504079)",1
East Roosevelt Street,128,5598011,100,1060,1,77.83731529,1,29,,tertiary,5,"LINESTRING (-112.0697621 33.4586769, -112.0698706 33.4586769, -112.0701391 33.458677, -112.0702925 33.4586803, -112.0706011 33.4586811)",1
East Roosevelt Street,129,5598011,1060,100,1,77.83731529,2,29,,tertiary,5,"LINESTRING (-112.0706011 33.4586811, -112.0702925 33.4586803, -112.0701391 33.458677, -112.0698706 33.4586769, -112.0697621 33.4586769)",1
East Diamond Street,130,5598849,120,86,1,231.2972378,1,25,,residential,6,"LINESTRING (-112.0589395 33.4592711, -112.0588202 33.459271, -112.0564462 33.4592693)",1
East Diamond Street,131,5598849,86,120,1,231.2972378,1,25,,residential,6,"LINESTRING (-112.0564462 33.4592693, -112.0588202 33.459271, -112.0589395 33.4592711)",1
East Diamond Street,132,5598852,123,124,1,104.2335432,1,25,,residential,6,"LINESTRING (-112.0542788 33.4595976, -112.0531552 33.4596002)",1
East Diamond Street,133,5598852,124,123,1,104.2335432,1,25,,residential,6,"LINESTRING (-112.0531552 33.4596002, -112.0542788 33.4595976)",1
East Diamond Street,134,5598852,124,125,1,103.0487416,1,25,,residential,6,"LINESTRING (-112.0531552 33.4596002, -112.0520444 33.4596073)",1
East Diamond Street,135,5598852,125,124,1,103.0487416,1,25,,residential,6,"LINESTRING (-112.0520444 33.4596073, -112.0531552 33.4596002)",1
East Diamond Street,136,5598852,125,126,1,203.8306924,1,25,,residential,6,"LINESTRING (-112.0520444 33.4596073, -112.0498472 33.4596169)",1
East Diamond Street,137,5598852,126,125,1,203.8306924,1,25,,residential,6,"LINESTRING (-112.0498472 33.4596169, -112.0520444 33.4596073)",1
East Diamond Street,138,5598852,126,127,1,203.5894788,1,25,,residential,6,"LINESTRING (-112.0498472 33.4596169, -112.0478325 33.4596257, -112.0476526 33.4596265)",1
East Diamond Street,139,5598852,127,126,1,203.5894788,1,25,,residential,6,"LINESTRING (-112.0476526 33.4596265, -112.0478325 33.4596257, -112.0498472 33.4596169)",1
East Diamond Street,140,5598854,128,87,1,200.9811921,1,25,,residential,6,"LINESTRING (-112.0542789 33.4595749, -112.0564453 33.4595565)",1
East Diamond Street,141,5598854,87,128,1,200.9811921,1,25,,residential,6,"LINESTRING (-112.0564453 33.4595565, -112.0542789 33.4595749)",1
East Diamond Street,142,5598860,129,130,1,93.53726777,1,29,,residential,6,"LINESTRING (-112.0400212 33.4595742, -112.0395143 33.459575, -112.0390129 33.4595757)",1
East Diamond Street,143,5598860,130,129,1,93.53726777,1,29,,residential,6,"LINESTRING (-112.0390129 33.4595757, -112.0395143 33.459575, -112.0400212 33.4595742)",1
West Lynwood Street,144,5598922,970,131,1,404.2745583,1,25,,residential,6,"LINESTRING (-112.0738957 33.4646876, -112.0740278 33.4646868, -112.0741268 33.4646911, -112.0745592 33.4646965, -112.0747125 33.464697, -112.07507 33.4646972, -112.0751571 33.4646976, -112.0771373 33.4647163, -112.0781367 33.4647247, -112.0782513 33.4647437)",1
