name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
QuikTrip,25,121879928,,yes,,,"POLYGON ((-112.0454054 33.0720871, -112.0452522 33.0720869, -112.0452524 33.0720059, -112.0452306 33.0720058, -112.0452307 33.0719404, -112.0452747 33.0719405, -112.0452748 33.0718967, -112.0454058 33.0718969, -112.0454054 33.0720871))",POINT (-112.0453269 33.0719934),306.9,3303.4
,26,200742433,,retail,,,"POLYGON ((-112.0477271 33.0676183, -112.0477629 33.0675492, -112.0476604 33.067512, -112.0476735 33.0674865, -112.0474619 33.0674097, -112.0474344 33.0674629, -112.0474012 33.0674508, -112.0473657 33.0675194, -112.0474035 33.0675331, -112.0473753 33.0675876, -112.0475761 33.0676605, -112.0476184 33.0675788, -112.0477271 33.0676183))",POINT (-112.0475424 33.0675374),563.2,6061.8
,27,200742459,,yes,,,"POLYGON ((-112.0468707 33.068741, -112.0469197 33.0686426, -112.046702 33.0685663, -112.0466529 33.0686647, -112.0468707 33.068741))",POINT (-112.0467863 33.0686537),260.4,2802.6
,28,688367360,,yes,,,"POLYGON ((-112.0112687 33.0558231, -112.0110642 33.055822, -112.0110648 33.0557416, -112.0112693 33.0557427, -112.0112687 33.0558231))",POINT (-112.0111667 33.0557824),171.0,1840.2
,29,231831395,,yes,,,"POLYGON ((-112.0853989 33.0264104, -112.0853421 33.0264104, -112.0853421 33.026255, -112.0853989 33.026255, -112.0853989 33.0264104))",POINT (-112.0853705 33.0263327),91.7,986.9
,30,230288735,,yes,,,"POLYGON ((-112.0081895 33.2616754, -112.008108 33.2616753, -112.0081082 33.2615586, -112.0081897 33.2615587, -112.0081895 33.2616754))",POINT (-112.0081488 33.261617),98.0,1055.3
,31,231522148,,yes,,,"POLYGON ((-111.9807938 33.0007444, -111.9806716 33.0007439, -111.9806733 33.000466, -111.9807955 33.0004665, -111.9807938 33.0007444))",POINT (-111.9807335 33.0006052),351.1,3779.4
,32,429555403,,,parking,,"POLYGON ((-112.014817 33.0527369, -112.0148347 33.0524788, -112.0139162 33.0524276, -112.0139109 33.0524788, -112.0142525 33.052702, -112.014817 33.0527369))",POINT (-112.01443 33.0525739),2072.9,22312.4
,33,374902925,,industrial,,,"POLYGON ((-111.9939182 33.1754316, -111.9938478 33.1754309, -111.9938494 33.1753129, -111.9939198 33.1753136, -111.9939182 33.1754316))",POINT (-111.9938838 33.1753722),85.8,923.8
,34,450117486,,house,,,"POLYGON ((-112.0431823 33.0620301, -112.0431832 33.0618295, -112.0432672 33.0618297, -112.0432672 33.0618383, -112.0433065 33.0618384, -112.0433057 33.0620304, -112.0431823 33.0620301))",POINT (-112.0432438 33.0619313),252.4,2716.9
,35,497740198,,yes,,,"POLYGON ((-111.9858274 33.2717644, -111.9857605 33.2717287, -111.9857996 33.2716774, -111.9858302 33.2716143, -111.9858382 33.2715493, -111.9858329 33.2715045, -111.9858248 33.2714574, -111.9858956 33.2714325, -111.9859034 33.271448, -111.9859117 33.2714965, -111.9859181 33.2715494, -111.9859137 33.2715845, -111.9859424 33.2715869, -111.9859343 33.2716311, -111.985908 33.2716306, -111.9858705 33.2717079, -111.9858274 33.2717644))",POINT (-111.9858602 33.2716007),275.4,2964.1
,36,230288746,,yes,,,"POLYGON ((-112.0013399 33.2645067, -112.001258 33.2645057, -112.0012585 33.2644818, -112.0013404 33.2644828, -112.0013399 33.2645067))",POINT (-112.0012992 33.2644942),20.5,221.0
,37,675945781,,yes,,,"POLYGON ((-112.0784625 33.0303659, -112.0784616 33.0306385, -112.078308 33.0306382, -112.0783089 33.0303655, -112.0784625 33.0303659))",POINT (-112.0783852 33.030502),432.6,4656.2
,38,231522217,,yes,,,"POLYGON ((-111.9812105 33.001099, -111.9810883 33.0010985, -111.98109 33.000818, -111.9812122 33.0008185, -111.9812105 33.001099))",POINT (-111.9811502 33.0009585),354.5,3816.2
,39,231522185,,yes,,,"POLYGON ((-111.9829958 33.0014581, -111.982869 33.0014577, -111.9828699 33.0012135, -111.9829968 33.0012139, -111.9829958 33.0014581))",POINT (-111.9829329 33.0013358),321.1,3456.7
,40,449516595,,house,,,"POLYGON ((-112.0431249 33.0589751, -112.0431232 33.058865, -112.0429952 33.0588663, -112.0429969 33.0589765, -112.0431249 33.0589751))",POINT (-112.04306 33.0589207),146.4,1575.9
,41,200742457,,yes,,,"POLYGON ((-112.0436581 33.0751424, -112.0437146 33.0750375, -112.0434856 33.0749509, -112.0434291 33.0750557, -112.0436581 33.0751424))",POINT (-112.0435719 33.0750466),299.1,3219.7
,42,200742432,,yes,,,"POLYGON ((-112.0461482 33.0738335, -112.0462845 33.0735765, -112.0461288 33.0735185, -112.0461106 33.0735529, -112.046082 33.0735423, -112.0460677 33.0735692, -112.0460939 33.073579, -112.0460385 33.0736835, -112.0460115 33.0736734, -112.0459851 33.0737231, -112.0460047 33.0737304, -112.0459827 33.0737719, -112.0461482 33.0738335))",POINT (-112.0461316 33.0736754),531.2,5718.1
,43,232400445,,yes,,,"POLYGON ((-112.0048121 33.0579017, -112.0047437 33.0579015, -112.0047469 33.0571166, -112.0048033 33.0571168, -112.0048154 33.0571168, -112.0048121 33.0579017))",POINT (-112.0047795 33.0575091),556.8,5993.3
,44,921807049,,,parking,,"POLYGON ((-111.993478 33.2690067, -111.9936955 33.2686785, -111.9930843 33.2681881, -111.992711 33.2684579, -111.9930487 33.2687426, -111.993478 33.2690067))",POINT (-111.9932246 33.2685891),3884.4,41811.5
,45,497740195,,yes,,,"POLYGON ((-111.983736 33.2704295, -111.9836746 33.2703599, -111.9836124 33.2703983, -111.9836738 33.2704679, -111.983736 33.2704295))",POINT (-111.9836742 33.2704139),68.6,738.4
,46,257531383,,yes,,,"POLYGON ((-112.0474624 33.0625609, -112.0462228 33.0625245, -112.0462302 33.0623495, -112.0474697 33.0623859, -112.0474624 33.0625609))",POINT (-112.0468463 33.0624552),2248.2,24199.6
,47,231662034,,yes,,,"POLYGON ((-112.0565092 32.9883937, -112.0562948 32.9883931, -112.0562951 32.9883072, -112.0565096 32.9883078, -112.0565092 32.9883937))",POINT (-112.0564022 32.9883504),190.5,2050.3
,48,191591658,,yes,,,"POLYGON ((-112.0517482 33.0561978, -112.0515789 33.0560986, -112.0516494 33.0560141, -112.0518187 33.0561133, -112.0517482 33.0561978))",POINT (-112.0516988 33.056106),220.0,2368.3
,49,191591669,,yes,,,"POLYGON ((-112.05279 33.0547026, -112.0525846 33.0547026, -112.0525846 33.0546215, -112.05279 33.0546215, -112.05279 33.0547026))",POINT (-112.0526873 33.054662),171.9,1850.3
,50,921807052,,,parking,,"POLYGON ((-111.9908304 33.2661882, -111.9901566 33.2660075, -111.9900154 33.2665032, -111.9900226 33.2669485, -111.9902689 33.2669222, -111.9902605 33.2667637, -111.9905322 33.2667486, -111.9907194 33.2666941, -111.9908304 33.2661882))",POINT (-111.9903743 33.2664553),5328.5,57355.0
,51,231522234,,yes,,,"POLYGON ((-111.9807938 33.0014243, -111.9806717 33.0014238, -111.9806733 33.0011577, -111.9807955 33.0011582, -111.9807938 33.0014243))",POINT (-111.9807336 33.001291),337.8,3635.8
,52,231522161,,yes,,,"POLYGON ((-111.976577 33.0028308, -111.9765639 32.9994563, -111.976664 32.999456, -111.9766771 33.0028305, -111.976577 33.0028308))",POINT (-111.9766205 33.0011434),3479.1,37449.0
