name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
Arizona Department of Transportation,20,30703972.0,,yes,,,"POLYGON ((-112.0971987 33.445899, -112.0961516 33.445899, -112.096143 33.4454478, -112.0959628 33.4454478, -112.0959628 33.44519, -112.09604 33.44519, -112.09604 33.4451398, -112.0964348 33.4451398, -112.0964348 33.4454406, -112.0971902 33.4454406, -112.0971902 33.4456268, -112.0973704 33.4456268, -112.0973704 33.4457557, -112.0971987 33.4457557, -112.0971987 33.445899))",POINT (-112.0965907 33.4455893),6613.4,71186.4,22
State of Arizona office building,21,30704013.0,,yes,,,"POLYGON ((-112.0955851 33.4454191, -112.0955851 33.4451398, -112.0951731 33.4451398, -112.0951731 33.4455695, -112.0950015 33.4455695, -112.0950015 33.4458703, -112.0954993 33.4458703, -112.0955079 33.4454191, -112.0955851 33.4454191))",POINT (-112.0953122 33.4455234),3249.7,34979.7,22
Arizona Department of Transportation,22,30704027.0,,yes,,,"POLYGON ((-112.099087 33.4467942, -112.0984261 33.4467942, -112.0984175 33.4465364, -112.099087 33.4465364, -112.099087 33.4467942))",POINT (-112.0987544 33.446665),1764.4,18991.5,21
Arizona Department of Corrections Office of Victim Services,23,30704034.0,,public,,,"POLYGON ((-112.0954856 33.4468063, -112.0949706 33.4468063, -112.0949706 33.4465658, -112.0954856 33.4465658, -112.0954856 33.4468063))",POINT (-112.0952281 33.446686),1276.5,13740.5,22
Arizona Department of Corrections,24,30704041.0,,public,,,"POLYGON ((-112.0944853 33.4468311, -112.0944704 33.4468311, -112.0944705 33.446841, -112.0938754 33.4468438, -112.0938753 33.4468346, -112.0938632 33.4468347, -112.0938615 33.4465786, -112.0938754 33.4465785, -112.0938753 33.446568, -112.0944699 33.4465653, -112.0944699 33.4465762, -112.0944836 33.4465761, -112.0944853 33.4468311))",POINT (-112.0941733 33.4467046),1757.5,18917.8,22
ADHS Office Building,25,30704054.0,,yes,,,"POLYGON ((-112.0995803 33.4500233, -112.0995803 33.4500215, -112.0995951 33.4500215, -112.0995951 33.4499285, -112.0995803 33.4499285, -112.0995803 33.4499087, -112.0995803 33.4498162, -112.0989249 33.4498205, -112.0989249 33.4498043, -112.0988602 33.4498043, -112.0988602 33.4498214, -112.0985074 33.4498211, -112.0985074 33.4500264, -112.0985761 33.4500264, -112.0985761 33.4500491, -112.0985685 33.4500491, -112.0985685 33.4501402, -112.0993249 33.4501402, -112.0993249 33.450133, -112.0995164 33.450133, -112.0995164 33.4500429, -112.099503 33.4500429, -112.099503 33.4500233, -112.0995803 33.4500233))",POINT (-112.0990448 33.4499741),3403.0,36629.4,16
Arizona Department of Health Services,26,30704079.0,,office,,,"POLYGON ((-112.0962853 33.450485, -112.0962758 33.4505202, -112.096205 33.4505215, -112.0961968 33.4505215, -112.0961968 33.4505318, -112.096205 33.4505318, -112.096205 33.450543, -112.0961645 33.450543, -112.0961645 33.4505773, -112.0962095 33.4505773, -112.0962095 33.4506631, -112.0962599 33.4506631, -112.0962599 33.4507124, -112.0971644 33.4507124, -112.0971644 33.4506192, -112.0971644 33.450364, -112.096841 33.450364, -112.096841 33.4504968, -112.0967516 33.4504968, -112.0967516 33.450511, -112.0965102 33.450511, -112.0965102 33.4504968, -112.0964805 33.4504973, -112.096466 33.4504608, -112.0965357 33.4504502, -112.096522 33.4503874, -112.0964397 33.4504023, -112.0964404 33.4504076, -112.0964145 33.4504093, -112.0964095 33.4503961, -112.0963917 33.4503791, -112.096368 33.4503683, -112.0963412 33.4503648, -112.0963147 33.4503692, -112.0962986 33.4503765, -112.0962882 33.4503843, -112.0962736 33.4503755, -112.0962622 33.4503873, -112.0962518 33.4504127, -112.0962524 33.4504396, -112.096264 33.4504647, -112.0962853 33.450485))",POINT (-112.0967102 33.4505606),2784.4,29970.7,17
Arizona Department of Environmental Quality,27,30704150.0,,yes,,,"POLYGON ((-112.0878432 33.4491217, -112.0870965 33.4491217, -112.0870965 33.4488209, -112.0875085 33.4488209, -112.0875596 33.4487829, -112.0875857 33.4487636, -112.0875857 33.4484414, -112.0879462 33.4484414, -112.0879548 33.4490286, -112.0879033 33.4490286, -112.0879033 33.4490787, -112.0878432 33.4490787, -112.0878432 33.4491217))",POINT (-112.0876036 33.4488484),4024.1,43314.8,22
Calvin C. Goode Building,28,30704177.0,,yes,,,"POLYGON ((-112.0774737 33.4477382, -112.0774737 33.4479745, -112.0772701 33.4479745, -112.0767785 33.4479745, -112.0767785 33.4477382, -112.0774737 33.4477382))",POINT (-112.0771261 33.4478564),1692.5,18218.1,23
Phoenix City Council Chambers,29,30704186.0,,yes,,,"POLYGON ((-112.0768475 33.4476646, -112.0768244 33.447664, -112.0767863 33.4476568, -112.0767534 33.4476434, -112.076717 33.4476172, -112.0766936 33.4475874, -112.0766816 33.4475592, -112.0766774 33.4475226, -112.0766806 33.4475008, -112.0766901 33.447475, -112.0767046 33.4474524, -112.0767227 33.4474335, -112.0767561 33.4474111, -112.0767724 33.4474038, -112.0768033 33.4473949, -112.0768384 33.4473912, -112.076873 33.4473938, -112.0769052 33.447402, -112.0769339 33.4474152, -112.0769628 33.4474363, -112.0769851 33.4474625, -112.0769973 33.4474863, -112.0770034 33.4475083, -112.0770048 33.4475359, -112.0769979 33.4475681, -112.0769827 33.4475969, -112.0769484 33.4476314, -112.0769217 33.4476471, -112.0768963 33.4476567, -112.0768668 33.447663, -112.0768475 33.4476646))",POINT (-112.0768412 33.4475279),718.4,7732.3,23
